site,roll,filename,exif-datetime,filedatetime
10A,R1,NIA_S1_10A_R1_IMAG0001.JPG,2016:10:21 09:10:37,2017:08:31 18:45:10
10A,R1,NIA_S1_10A_R1_IMAG0002.JPG,2016:10:30 18:45:48,2017:08:31 18:45:10
10A,R1,NIA_S1_10A_R1_IMAG0003.JPG,2016:10:30 18:48:11,2017:08:31 18:45:10
10B,R1,NIA_S1_10B_R1_IMAG0001.JPG,2016:10:01 14:16:45,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0002.JPG,2016:10:02 05:34:44,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0003.JPG,2016:10:02 07:41:55,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0004.JPG,2016:10:03 15:39:28,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0005.JPG,2016:10:05 03:58:01,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0006.JPG,2016:10:05 05:42:03,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0007.JPG,2016:10:05 11:43:33,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0008.JPG,2016:10:05 11:44:48,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0009.JPG,2016:10:07 09:09:27,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0010.JPG,2016:10:07 09:09:42,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0011.JPG,2016:10:09 10:28:46,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0012.JPG,2016:10:09 10:29:12,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0013.JPG,2016:10:10 06:08:17,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0014.JPG,2016:10:11 19:08:12,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0015.JPG,2016:10:13 18:18:43,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0016.JPG,2016:10:16 19:05:23,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0017.JPG,2016:10:16 20:07:04,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0018.JPG,2016:10:18 15:15:16,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0019.JPG,2016:10:18 16:24:01,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0020.JPG,2016:10:19 05:28:43,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0021.JPG,2016:10:21 06:04:08,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0022.JPG,2016:10:21 06:06:15,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0023.JPG,2016:10:21 12:53:22,2017:08:31 18:45:11
10B,R1,NIA_S1_10B_R1_IMAG0024.JPG,2016:10:21 12:54:01,2017:08:31 18:45:11
